Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,MatchID
30,Sun,4/3/2022,15:00 (21:00),Montpellier,1.5,1–2,0.9,Brest,"10,929",Stade de la Mosson,Florent Batta,2122084
30,Sun,4/3/2022,15:00 (21:00),Troyes,1.3,1–0,0.8,Reims,"9,482",Stade de l'Aube,Ruddy Buquet,2122085
30,Sun,4/3/2022,15:00 (21:00),Saint-Étienne,0.2,2–4,3.9,Marseille,"41,278",Stade Geoffroy-Guichard,Clément Turpin,2122086
30,Sun,4/3/2022,15:00 (21:00),Metz,1.1,1–2,2.1,Monaco,"19,812",Stade Saint-Symphorien,Jérôme Brisard,2122087
30,Sun,4/3/2022,13:00 (19:00),Strasbourg,2.8,1–0,1.1,Lens,"26,005",Stade de la Meinau,François Letexier,2122088
30,Sat,4/2/2022,19:00 (01:00),Lille,3,0–0,0.1,Bordeaux,"36,351",Stade Pierre-Mauroy,Bastien Dechepy,2122089
30,Sat,4/2/2022,17:00 (23:00),Nice,1.3,1–1,1.3,Rennes,"24,086",Stade de Nice,Benoît Bastien,2122090
29,Sun,3/20/2022,20:45 (03:45),Marseille,1.6,2–1,1.3,Nice,"64,722",Orange Vélodrome,Jérôme Brisard,2122091
29,Sun,3/20/2022,17:05 (00:05),Reims,0.5,0–0,2.2,Lyon,"14,091",Stade Auguste-Delaune II,Johan Hamel,2122092
29,Sun,3/20/2022,15:00 (22:00),Lorient,0.6,0–0,1.5,Strasbourg,"9,806",Stade Yves Allainmat - Le Moustoir,Benoît Millot,2122093
29,Sun,3/20/2022,15:00 (22:00),Bordeaux,4,0–2,0.7,Montpellier,"15,000",Stade Matmut-Atlantique,Thomas Léonard,2122094
29,Sun,3/20/2022,15:00 (22:00),Rennes,3.4,6–1,0.7,Metz,"27,966",Roazhon Park,Willy Delajod,2122095
29,Sun,3/20/2022,15:00 (22:00),Angers,2.1,1–0,1.3,Brest,"7,734",Stade Raymond Kopa,Jérémie Pignard,2122096
29,Sun,3/20/2022,13:00 (20:00),Monaco,2.3,3–0,1,Paris S-G,"16,642",Stade Louis II.,Benoît Bastien,2122097
29,Sat,3/19/2022,21:00 (04:00),Nantes,1,0–1,1.3,Lille,"25,977",Stade de la Beaujoire - Louis Fonteneau,Pierre Gaillouste,2122098
29,Sat,3/19/2022,17:00 (00:00),Lens,1.8,3–1,1.5,Clermont Foot,"36,182",Stade Bollaert-Delelis,Jeremy Stinat,2122099
29,Fri,3/18/2022,21:00 (04:00),Saint-Étienne,1.4,1–1,1.2,Troyes,"32,193",Stade Geoffroy-Guichard,Romain Lissorgue,2122100
28,Sun,3/13/2022,20:45 (03:45),Brest,0.7,1–4,2,Marseille,"14,611",Stade Francis-Le Blé,Ruddy Buquet,2122101
28,Sun,3/13/2022,17:05 (00:05),Lyon,1.4,2–4,1.3,Rennes,"46,597",Groupama Stadium,Antony Gautier,2122102
28,Sun,3/13/2022,15:00 (22:00),Angers,2.5,0–1,1.6,Reims,"5,960",Stade Raymond Kopa,Mikael Lesage,2122103
28,Sun,3/13/2022,15:00 (22:00),Metz,0.7,0–0,0.8,Lens,"15,687",Stade Saint-Symphorien,Amaury Delerue,2122104
28,Sun,3/13/2022,15:00 (22:00),Clermont Foot,1.1,0–2,1.5,Lorient,"11,359",Stade Gabriel Montpied,Bastien Dechepy,2122105
28,Sun,3/13/2022,15:00 (22:00),Strasbourg,1,1–0,0.8,Monaco,"25,231",Stade de la Meinau,Eric Wattellier,2122106
28,Sun,3/13/2022,13:00 (20:00),Paris S-G,1.1,3–0,0.9,Bordeaux,"44,000",Parc des Princes,François Letexier,2122107
28,Sat,3/12/2022,21:00 (04:00),Troyes,1.9,1–0,0.5,Nantes,"7,400",Stade de l'Aube,Stéphanie Frappart,2122108
28,Sat,3/12/2022,17:00 (00:00),Montpellier,3.2,0–0,0.7,Nice,"11,658",Stade de la Mosson,Clément Turpin,2122109
28,Fri,3/11/2022,21:00 (04:00),Lille,1.1,0–0,0.6,Saint-Étienne,"40,146",Stade Pierre-Mauroy,Florent Batta,2122110
27,Sun,3/6/2022,20:45 (03:45),Marseille,1.1,0–1,0.7,Monaco,"56,510",Orange Vélodrome,Antony Gautier,2122111
